Startup Name,Detected Incidents,Average Response Time (hrs),Vulnerability Score (0–10),Threat Score (0–100),Risk Level,AI Recommendation
AgroSmart_1,1,4.5,2.4,16.0,Low,Maintain patch cycle; SOC audits bi-annually
EduSolve_95,19,14.7,8.7,82.0,High,Urgent audit; migrate to zero-trust network architecture
InnoRisk_96,10,8.1,4.7,44.0,Medium,Train staff on phishing; deploy EDR tool update
EcoTech_97,16,20.4,7.8,86.0,High,Urgent audit; migrate to zero-trust network architecture
EcoTech_98,19,12.5,7.7,78.0,High,Urgent audit; migrate to zero-trust network architecture
HealthAI_99,24,20.5,8.8,97.0,High,Urgent audit; migrate to zero-trust network architecture
BioTrace_100,2,4.0,1.4,16.0,Low,Maintain patch cycle; SOC audits bi-annually
AlphaGuard_101,6,7.1,5.9,40.0,Low,Maintain patch cycle; SOC audits bi-annually
DataShield_102,6,6.2,4.5,34.0,Low,Maintain patch cycle; SOC audits bi-annually
FinFlow_103,3,1.3,1.9,14.0,Low,Maintain patch cycle; SOC audits bi-annually
HealthAI_104,8,9.2,5.0,46.0,Medium,Train staff on phishing; deploy EDR tool update
BioTrace_105,21,13.3,9.5,86.0,High,Urgent audit; migrate to zero-trust network architecture
EduSolve_106,2,1.6,2.0,13.0,Low,Maintain patch cycle; SOC audits bi-annually
LogiChain_107,8,7.5,6.2,48.0,Medium,Train staff on phishing; deploy EDR tool update
CloudSecure_108,10,7.7,4.3,44.0,Medium,Train staff on phishing; deploy EDR tool update
SafePay_109,2,4.7,0.6,15.0,Low,Maintain patch cycle; SOC audits bi-annually
CloudSecure_110,10,10.7,5.3,51.0,Medium,Train staff on phishing; deploy EDR tool update
CloudSecure_111,7,9.5,6.2,48.0,Medium,Train staff on phishing; deploy EDR tool update
InnoRisk_112,16,20.1,8.4,83.0,High,Urgent audit; migrate to zero-trust network architecture
AlphaGuard_113,2,1.7,3.3,15.0,Low,Maintain patch cycle; SOC audits bi-annually
SafePay_114,5,6.5,5.9,39.0,Low,Maintain patch cycle; SOC audits bi-annually
EduSolve_115,5,10.8,4.7,41.0,Medium,Train staff on phishing; deploy EDR tool update
CloudSecure_116,3,4.7,2.7,19.0,Low,Maintain patch cycle; SOC audits bi-annually
BioTrace_117,2,3.1,0.6,10.0,Low,Maintain patch cycle; SOC audits bi-annually
HealthAI_118,9,10.5,5.1,47.0,Medium,Train staff on phishing; deploy EDR tool update
HealthAI_119,9,8.6,5.6,50.0,Medium,Train staff on phishing; deploy EDR tool update
EduSolve_120,6,7.9,4.8,37.0,Low,Maintain patch cycle; SOC audits bi-annually
FinFlow_121,6,6.5,6.5,45.0,Medium,Train staff on phishing; deploy EDR tool update
HealthAI_122,20,20.5,9.3,93.0,High,Urgent audit; migrate to zero-trust network architecture
EduSolve_123,17,16.0,8.2,81.0,High,Urgent audit; migrate to zero-trust network architecture
CloudSecure_124,6,10.5,5.2,43.0,Medium,Train staff on phishing; deploy EDR tool update
DataShield_125,19,17.1,9.6,87.0,High,Urgent audit; migrate to zero-trust network architecture
AlphaGuard_126,14,14.9,8.2,76.0,High,Urgent audit; migrate to zero-trust network architecture
AlphaGuard_127,1,2.2,2.3,15.0,Low,Maintain patch cycle; SOC audits bi-annually
SecureOps_128,6,10.0,5.6,46.0,Medium,Train staff on phishing; deploy EDR tool update
SecureOps_129,9,8.8,5.9,51.0,Medium,Train staff on phishing; deploy EDR tool update
HealthAI_130,1,1.4,2.0,11.0,Low,Maintain patch cycle; SOC audits bi-annually
BioTrace_131,24,13.5,9.6,91.0,High,Urgent audit; migrate to zero-trust network architecture
EcoTech_132,3,3.6,1.5,16.0,Low,Maintain patch cycle; SOC audits bi-annually
EcoTech_133,21,16.1,8.6,86.0,High,Urgent audit; migrate to zero-trust network architecture
DataShield_134,9,7.6,6.3,47.0,Medium,Train staff on phishing; deploy EDR tool update
BioTrace_135,18,12.5,7.8,77.0,High,Urgent audit; migrate to zero-trust network architecture
AgroSmart_136,7,9.5,6.6,49.0,Medium,Train staff on phishing; deploy EDR tool update
EcoTech_137,9,7.7,4.7,46.0,Medium,Train staff on phishing; deploy EDR tool update
AgroSmart_138,7,6.6,5.3,41.0,Medium,Train staff on phishing; deploy EDR tool update
InnoRisk_139,12,12.2,7.8,71.0,High,Urgent audit; migrate to zero-trust network architecture
AlphaGuard_140,17,18.2,8.6,85.0,High,Urgent audit; migrate to zero-trust network architecture
CyberNet_141,9,7.6,5.2,42.0,Medium,Train staff on phishing; deploy EDR tool update
CloudSecure_142,1,2.6,1.1,10.0,Low,Maintain patch cycle; SOC audits bi-annually
CyberNet_143,5,9.6,6.4,42.0,Medium,Train staff on phishing; deploy EDR tool update
BioTrace_144,0,1.3,0.9,10.0,Low,Maintain patch cycle; SOC audits bi-annually
EduSolve_145,6,6.1,5.2,39.0,Low,Maintain patch cycle; SOC audits bi-annually
BioTrace_146,24,18.6,8.5,94.0,High,Urgent audit; migrate to zero-trust network architecture
ZenithCyber_147,3,4.3,1.3,14.0,Low,Maintain patch cycle; SOC audits bi-annually
AgroSmart_148,6,6.1,6.5,42.0,Medium,Train staff on phishing; deploy EDR tool update
EduSolve_149,24,23.0,8.9,99.0,High,Urgent audit; migrate to zero-trust network architecture
ZenithCyber_150,10,9.0,5.1,49.0,Medium,Train staff on phishing; deploy EDR tool update
LogiChain_151,6,8.3,5.6,42.0,Medium,Train staff on phishing; deploy EDR tool update
EcoTech_152,20,20.8,8.2,89.0,High,Urgent audit; migrate to zero-trust network architecture
CyberNet_153,0,4.0,1.7,10.0,Low,Maintain patch cycle; SOC audits bi-annually
EcoTech_154,0,4.2,2.5,15.0,Low,Maintain patch cycle; SOC audits bi-annually
DataShield_155,8,6.4,6.5,46.0,Medium,Train staff on phishing; deploy EDR tool update
AgroSmart_156,0,2.6,2.5,14.0,Low,Maintain patch cycle; SOC audits bi-annually
CyberNet_157,8,8.4,6.6,48.0,Medium,Train staff on phishing; deploy EDR tool update
LogiChain_158,1,1.7,1.8,12.0,Low,Maintain patch cycle; SOC audits bi-annually
InnoRisk_159,10,10.2,4.6,49.0,Medium,Train staff on phishing; deploy EDR tool update
LogiChain_160,6,7.3,4.6,39.0,Low,Maintain patch cycle; SOC audits bi-annually
HealthAI_161,23,20.9,8.0,96.0,High,Urgent audit; migrate to zero-trust network architecture
EduSolve_162,12,15.0,9.5,73.0,High,Urgent audit; migrate to zero-trust network architecture
CyberNet_163,9,8.1,6.8,48.0,Medium,Train staff on phishing; deploy EDR tool update
AlphaGuard_164,9,10.3,4.7,46.0,Medium,Train staff on phishing; deploy EDR tool update
DataShield_165,1,1.6,1.8,12.0,Low,Maintain patch cycle; SOC audits bi-annually
CyberNet_166,7,7.9,5.3,45.0,Medium,Train staff on phishing; deploy EDR tool update
FinFlow_167,18,16.0,10.0,87.0,High,Urgent audit; migrate to zero-trust network architecture
LogiChain_168,7,6.4,5.1,39.0,Low,Maintain patch cycle; SOC audits bi-annually
LogiChain_169,24,23.6,9.5,100.0,High,Urgent audit; migrate to zero-trust network architecture
FinFlow_170,2,4.0,0.6,10.0,Low,Maintain patch cycle; SOC audits bi-annually
CyberNet_171,2,3.9,1.5,15.0,Low,Maintain patch cycle; SOC audits bi-annually
LogiChain_172,18,14.0,7.6,79.0,High,Urgent audit; migrate to zero-trust network architecture
CloudSecure_173,10,10.6,6.3,51.0,Medium,Train staff on phishing; deploy EDR tool update
SecureOps_174,3,4.0,0.6,11.0,Low,Maintain patch cycle; SOC audits bi-annually
AgroSmart_175,2,4.0,0.9,15.0,Low,Maintain patch cycle; SOC audits bi-annually
DataShield_176,22,22.2,9.1,100.0,High,Urgent audit; migrate to zero-trust network architecture
EduSolve_177,3,4.6,1.1,16.0,Low,Maintain patch cycle; SOC audits bi-annually
EcoTech_178,14,12.8,8.8,76.0,High,Urgent audit; migrate to zero-trust network architecture
LogiChain_179,17,22.8,9.2,91.0,High,Urgent audit; migrate to zero-trust network architecture
AlphaGuard_180,3,4.2,2.8,22.0,Low,Maintain patch cycle; SOC audits bi-annually
ZenithCyber_181,5,9.2,4.0,36.0,Low,Maintain patch cycle; SOC audits bi-annually
ZenithCyber_182,3,3.4,3.5,20.0,Low,Maintain patch cycle; SOC audits bi-annually
CloudSecure_183,0,2.8,0.8,10.0,Low,Maintain patch cycle; SOC audits bi-annually
CyberNet_184,10,8.0,4.9,46.0,Medium,Train staff on phishing; deploy EDR tool update
EcoTech_185,23,17.7,9.7,98.0,High,Urgent audit; migrate to zero-trust network architecture
SafePay_186,19,13.0,9.4,82.0,High,Urgent audit; migrate to zero-trust network architecture
SecureOps_187,6,8.7,4.3,42.0,Medium,Train staff on phishing; deploy EDR tool update
EduSolve_188,23,21.8,9.7,100.0,High,Urgent audit; migrate to zero-trust network architecture
EduSolve_189,8,9.7,5.0,43.0,Medium,Train staff on phishing; deploy EDR tool update
LogiChain_190,17,14.7,9.5,86.0,High,Urgent audit; migrate to zero-trust network architecture
AlphaGuard_191,6,7.4,5.1,38.0,Low,Maintain patch cycle; SOC audits bi-annually
EcoTech_192,1,4.8,0.9,14.0,Low,Maintain patch cycle; SOC audits bi-annually
FinFlow_193,5,10.8,5.2,45.0,Medium,Train staff on phishing; deploy EDR tool update
FinFlow_194,7,9.2,6.4,50.0,Medium,Train staff on phishing; deploy EDR tool update
EcoTech_195,3,1.9,0.8,13.0,Low,Maintain patch cycle; SOC audits bi-annually
ZenithCyber_196,1,3.4,3.1,15.0,Low,Maintain patch cycle; SOC audits bi-annually
EduSolve_197,3,4.2,1.9,17.0,Low,Maintain patch cycle; SOC audits bi-annually
ZenithCyber_198,15,17.4,7.9,79.0,High,Urgent audit; migrate to zero-trust network architecture
LogiChain_199,22,17.0,7.9,88.0,High,Urgent audit; migrate to zero-trust network architecture
AgroSmart_200,3,3.7,2.0,19.0,Low,Maintain patch cycle; SOC audits bi-annually
EduSolve_201,2,1.8,2.6,13.0,Low,Maintain patch cycle; SOC audits bi-annually
FinFlow_202,0,4.0,1.7,10.0,Low,Maintain patch cycle; SOC audits bi-annually
DataShield_203,9,6.2,6.0,45.0,Medium,Train staff on phishing; deploy EDR tool update
SafePay_204,14,12.9,9.8,77.0,High,Urgent audit; migrate to zero-trust network architecture
BioTrace_205,12,23.8,9.5,89.0,High,Urgent audit; migrate to zero-trust network architecture
CloudSecure_206,1,1.2,1.0,10.0,Low,Maintain patch cycle; SOC audits bi-annually
EduSolve_207,0,3.3,1.8,12.0,Low,Maintain patch cycle; SOC audits bi-annually
FinFlow_208,6,9.6,5.9,43.0,Medium,Train staff on phishing; deploy EDR tool update
LogiChain_209,12,21.2,9.7,81.0,High,Urgent audit; migrate to zero-trust network architecture
InnoRisk_210,8,10.5,4.9,47.0,Medium,Train staff on phishing; deploy EDR tool update
EduSolve_211,10,7.2,4.8,45.0,Medium,Train staff on phishing; deploy EDR tool update
DataShield_212,23,17.7,8.0,89.0,High,Urgent audit; migrate to zero-trust network architecture
AlphaGuard_213,8,9.5,6.7,47.0,Medium,Train staff on phishing; deploy EDR tool update
AgroSmart_214,18,15.2,8.1,82.0,High,Urgent audit; migrate to zero-trust network architecture
BioTrace_215,8,10.7,5.9,52.0,Medium,Train staff on phishing; deploy EDR tool update
HealthAI_216,2,1.0,0.7,10.0,Low,Maintain patch cycle; SOC audits bi-annually
SecureOps_217,8,9.2,5.9,48.0,Medium,Train staff on phishing; deploy EDR tool update
HealthAI_218,0,3.4,2.4,10.0,Low,Maintain patch cycle; SOC audits bi-annually
AlphaGuard_219,7,9.3,5.0,44.0,Medium,Train staff on phishing; deploy EDR tool update
SecureOps_220,0,3.0,0.7,10.0,Low,Maintain patch cycle; SOC audits bi-annually
CyberNet_221,23,13.4,9.6,88.0,High,Urgent audit; migrate to zero-trust network architecture
AgroSmart_222,3,2.2,2.3,14.0,Low,Maintain patch cycle; SOC audits bi-annually
SecureOps_223,14,13.6,8.4,73.0,High,Urgent audit; migrate to zero-trust network architecture
FinFlow_224,7,8.8,6.5,47.0,Medium,Train staff on phishing; deploy EDR tool update
CloudSecure_225,8,10.6,6.0,50.0,Medium,Train staff on phishing; deploy EDR tool update
CloudSecure_226,3,4.4,3.2,21.0,Low,Maintain patch cycle; SOC audits bi-annually
SecureOps_227,16,12.6,9.5,79.0,High,Urgent audit; migrate to zero-trust network architecture
DataShield_228,12,22.9,9.2,87.0,High,Urgent audit; migrate to zero-trust network architecture
ZenithCyber_229,6,7.7,4.5,39.0,Low,Maintain patch cycle; SOC audits bi-annually
AgroSmart_230,8,7.4,6.2,47.0,Medium,Train staff on phishing; deploy EDR tool update
AgroSmart_231,17,12.3,7.9,73.0,High,Urgent audit; migrate to zero-trust network architecture
HealthAI_232,8,9.8,6.3,51.0,Medium,Train staff on phishing; deploy EDR tool update
ZenithCyber_233,3,1.8,2.1,16.0,Low,Maintain patch cycle; SOC audits bi-annually
AgroSmart_234,14,15.4,10.0,83.0,High,Urgent audit; migrate to zero-trust network architecture
LogiChain_235,10,8.9,6.4,51.0,Medium,Train staff on phishing; deploy EDR tool update
SafePay_236,2,2.9,2.3,14.0,Low,Maintain patch cycle; SOC audits bi-annually
AgroSmart_237,2,2.3,2.1,13.0,Low,Maintain patch cycle; SOC audits bi-annually
SafePay_238,21,13.7,9.8,90.0,High,Urgent audit; migrate to zero-trust network architecture
InnoRisk_239,5,10.5,6.8,45.0,Medium,Train staff on phishing; deploy EDR tool update
AlphaGuard_240,6,6.5,6.4,44.0,Medium,Train staff on phishing; deploy EDR tool update
BioTrace_241,2,1.4,1.4,10.0,Low,Maintain patch cycle; SOC audits bi-annually
LogiChain_242,10,6.1,6.9,52.0,Medium,Train staff on phishing; deploy EDR tool update
EduSolve_243,10,7.1,4.3,42.0,Medium,Train staff on phishing; deploy EDR tool update
FinFlow_244,5,10.2,4.9,38.0,Low,Maintain patch cycle; SOC audits bi-annually
AgroSmart_245,2,4.6,3.3,22.0,Low,Maintain patch cycle; SOC audits bi-annually
FinFlow_246,2,3.9,1.4,13.0,Low,Maintain patch cycle; SOC audits bi-annually
CloudSecure_247,5,9.5,4.8,41.0,Medium,Train staff on phishing; deploy EDR tool update
CloudSecure_248,6,7.1,4.1,39.0,Low,Maintain patch cycle; SOC audits bi-annually
FinFlow_249,6,7.9,4.3,39.0,Low,Maintain patch cycle; SOC audits bi-annually
CyberNet_250,6,7.1,5.0,41.0,Medium,Train staff on phishing; deploy EDR tool update
CyberNet_251,9,10.1,4.8,46.0,Medium,Train staff on phishing; deploy EDR tool update
EcoTech_252,3,2.1,2.1,16.0,Low,Maintain patch cycle; SOC audits bi-annually
FinFlow_253,12,12.8,7.8,67.0,Medium,Train staff on phishing; deploy EDR tool update
BioTrace_254,21,16.5,7.5,83.0,High,Urgent audit; migrate to zero-trust network architecture
ZenithCyber_255,22,18.6,7.6,90.0,High,Urgent audit; migrate to zero-trust network architecture
ZenithCyber_256,14,15.1,9.5,77.0,High,Urgent audit; migrate to zero-trust network architecture
EduSolve_257,8,6.3,4.4,41.0,Medium,Train staff on phishing; deploy EDR tool update
EduSolve_258,0,2.8,2.4,14.0,Low,Maintain patch cycle; SOC audits bi-annually
ZenithCyber_259,7,10.3,6.9,48.0,Medium,Train staff on phishing; deploy EDR tool update
BioTrace_260,5,8.1,6.5,43.0,Medium,Train staff on phishing; deploy EDR tool update
InnoRisk_261,10,7.0,6.3,48.0,Medium,Train staff on phishing; deploy EDR tool update
LogiChain_262,20,17.4,8.3,87.0,High,Urgent audit; migrate to zero-trust network architecture
SafePay_263,17,16.8,9.2,87.0,High,Urgent audit; migrate to zero-trust network architecture
AlphaGuard_264,12,18.2,8.9,78.0,High,Urgent audit; migrate to zero-trust network architecture
LogiChain_265,14,12.4,9.2,73.0,High,Urgent audit; migrate to zero-trust network architecture
CyberNet_266,19,18.2,9.1,88.0,High,Urgent audit; migrate to zero-trust network architecture
AgroSmart_267,21,21.3,7.5,94.0,High,Urgent audit; migrate to zero-trust network architecture
LogiChain_268,6,8.1,6.7,45.0,Medium,Train staff on phishing; deploy EDR tool update
ZenithCyber_269,3,4.1,3.0,22.0,Low,Maintain patch cycle; SOC audits bi-annually
ZenithCyber_270,8,6.3,5.5,45.0,Medium,Train staff on phishing; deploy EDR tool update
SafePay_271,16,12.7,9.4,76.0,High,Urgent audit; migrate to zero-trust network architecture
LogiChain_272,13,16.8,7.8,75.0,High,Urgent audit; migrate to zero-trust network architecture
ZenithCyber_273,0,2.5,0.9,10.0,Low,Maintain patch cycle; SOC audits bi-annually
DataShield_274,9,8.7,5.1,49.0,Medium,Train staff on phishing; deploy EDR tool update
AlphaGuard_275,9,7.8,6.6,50.0,Medium,Train staff on phishing; deploy EDR tool update
DataShield_276,0,1.6,3.3,11.0,Low,Maintain patch cycle; SOC audits bi-annually
AlphaGuard_277,3,2.4,1.2,13.0,Low,Maintain patch cycle; SOC audits bi-annually
EcoTech_278,15,16.8,9.4,85.0,High,Urgent audit; migrate to zero-trust network architecture
AgroSmart_279,20,18.0,8.9,87.0,High,Urgent audit; migrate to zero-trust network architecture
EcoTech_280,7,8.4,6.0,47.0,Medium,Train staff on phishing; deploy EDR tool update
FinFlow_281,0,1.7,1.2,10.0,Low,Maintain patch cycle; SOC audits bi-annually
LogiChain_282,13,14.2,9.5,78.0,High,Urgent audit; migrate to zero-trust network architecture
SecureOps_283,15,13.2,9.6,75.0,High,Urgent audit; migrate to zero-trust network architecture
SafePay_284,0,2.5,2.2,12.0,Low,Maintain patch cycle; SOC audits bi-annually
FinFlow_285,21,23.9,8.0,97.0,High,Urgent audit; migrate to zero-trust network architecture
SecureOps_286,3,3.5,1.8,15.0,Low,Maintain patch cycle; SOC audits bi-annually
AgroSmart_287,3,3.2,2.2,17.0,Low,Maintain patch cycle; SOC audits bi-annually
InnoRisk_288,6,8.2,6.5,47.0,Medium,Train staff on phishing; deploy EDR tool update
AlphaGuard_289,1,4.6,2.1,13.0,Low,Maintain patch cycle; SOC audits bi-annually
AlphaGuard_290,1,2.5,0.9,11.0,Low,Maintain patch cycle; SOC audits bi-annually
AlphaGuard_291,19,13.8,8.6,80.0,High,Urgent audit; migrate to zero-trust network architecture
AgroSmart_292,10,7.6,5.3,46.0,Medium,Train staff on phishing; deploy EDR tool update
AgroSmart_293,19,13.2,8.7,82.0,High,Urgent audit; migrate to zero-trust network architecture
SecureOps_294,6,10.2,4.1,41.0,Medium,Train staff on phishing; deploy EDR tool update
DataShield_295,8,7.4,4.7,39.0,Low,Maintain patch cycle; SOC audits bi-annually
BioTrace_296,16,15.9,8.2,82.0,High,Urgent audit; migrate to zero-trust network architecture
LogiChain_297,0,2.6,0.5,10.0,Low,Maintain patch cycle; SOC audits bi-annually
HealthAI_298,8,8.6,4.9,42.0,Medium,Train staff on phishing; deploy EDR tool update
SafePay_299,12,13.9,7.6,69.0,Medium,Train staff on phishing; deploy EDR tool update
CyberNet_300,18,14.9,9.7,82.0,High,Urgent audit; migrate to zero-trust network architecture
HealthAI_301,14,14.6,10.0,79.0,High,Urgent audit; migrate to zero-trust network architecture
EcoTech_302,1,3.8,3.0,17.0,Low,Maintain patch cycle; SOC audits bi-annually
